Cpu,Gpu,Memory,Price,Cpu_Value,Cpu_Generation,Memory_Type,Gpu_Category
Intel Core i3 6006U 2GHz,intel hd graphics 620,HDD,20725.92,1,Intel Core i3,2,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1060,SSD +  HDD,79866.72,1,Intel Core i7,1,Card rời
Intel Core i5 7200U 2.5GHz,nvidia geforce 940mx,HDD,27864.9072,1,Intel Core i5,2,Card rời
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,SSD,36336.96,1,Intel Core i5,1,Card onboard
Intel Core i5 8250U 1.6GHz,nvidia geforce 150mx,HDD,53226.72,1,Intel Core i5,2,Card rời
Intel Core i5 2.0GHz,intel iris graphics 540,SSD,75604.32,1,Intel Core i5,1,Card onboard
AMD Ryzen 1700 3GHz,amd radeon rx 580,SSD +  HDD,69210.72,2,Other,1,Khác
Intel Core i5 7200U 2.5GHz,amd radeon r5 m430,SSD,34045.92,1,Intel Core i5,1,Khác
Intel Pentium Quad Core N4200 1.1GHz,nvidia geforce 920mx,HDD,24828.48,1,Other,2,Card rời
Intel Core i7 8550U 1.8GHz,nvidia geforce mx150,SSD,44808.48,1,Intel Core i7,1,Card rời
AMD A6-Series 9220 2.5GHz,amd radeon r4 graphics,SSD,21231.5472,2,Other,1,Khác
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,SSD,58767.84,1,Intel Core i7,1,Card onboard
Intel Core i3 7100U 2.4GHz,intel hd graphics 620,HDD,20459.52,1,Intel Core i3,2,Card onboard
Intel Core i7 8550U 1.8GHz,amd radeon 520,SSD,40908.384,1,Intel Core i7,1,Khác
Intel Core i3 6006U 2GHz,intel hd graphics 520,SSD,23389.92,1,Intel Core i3,1,Card onboard
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,31232.2032,1,Intel Core i5,1,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1070,SSD +  HDD,130482.72,1,Intel Core i7,1,Card rời
Intel Core i3 6006U 2GHz,intel hd graphics 520,SSD,22111.2,1,Intel Core i3,1,Card onboard
Intel Core i7 8550U 1.8GHz,amd radeon 530,SSD +  HDD,69210.72,1,Intel Core i7,1,Khác
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,SSD,46833.12,1,Intel Core i5,1,Card onboard
Intel Core i3 7130U 2.7GHz,intel hd graphics 620,SSD,31914.72,1,Intel Core i3,1,Card onboard
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,SSD,50136.48,1,Intel Core i5,1,Card onboard
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,36763.2,1,Intel Core i5,1,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050 ti,SSD,105654.24,1,Intel Core i7,1,Card rời
Intel Core i3 6006U 2GHz,amd radeon 520,HDD,23373.4032,1,Intel Core i3,2,Khác
Intel Celeron Dual Core N3060 1.6GHz,intel hd graphics 400,SSD,12201.12,1,Other,1,Card onboard
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,HDD,29250.72,1,Intel Core i5,2,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050 ti,HDD,50562.72,1,Intel Core i7,2,Card rời
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,58021.92,1,Intel Core i5,1,Card onboard
Intel Core i7 8550U 1.8GHz,amd radeon 530,SSD,50882.4,1,Intel Core i7,1,Khác
Intel Core i7 8550U 1.8GHz,amd radeon 530,SSD,46353.6,1,Intel Core i7,1,Khác
Intel Core i5 7300HQ 2.5GHz,nvidia geforce gtx 1050,SSD +  HDD,58341.6,1,Intel Core i5,1,Card rời
Intel Core i3 6006U 2GHz,intel hd graphics 520,HDD,20725.92,1,Intel Core i3,2,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050,HDD,50562.72,1,Intel Core i7,2,Card rời
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,HDD,27652.32,1,Intel Core i5,2,Card onboard
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,SSD +  HDD,45554.4,1,Intel Core i7,1,Card onboard
Intel Core i3 7130U 2.7GHz,nvidia geforce mx130,HDD,28238.4,1,Intel Core i3,2,Card rời
Intel Core i5 8250U 1.6GHz,nvidia geforce 930mx,SSD +  HDD,52054.56,1,Intel Core i5,1,Card rời
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,SSD,58403.4048,1,Intel Core i5,1,Card onboard
Intel Core i5 1.3GHz,intel hd graphics 615,SSD,80452.8,1,Intel Core i5,1,Card onboard
Intel Core i5 8250U 1.6GHz,intel hd graphics 620,SSD,45820.8,1,Intel Core i5,1,Card onboard
AMD A6-Series 9220 2.5GHz,amd r4 graphics,SSD,21258.72,2,Other,1,Khác
AMD A9-Series 9420 3GHz,amd radeon r5,HDD,21045.6,2,Other,2,Khác
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050 ti,SSD +  HDD,71874.72,1,Intel Core i7,1,Card rời
Intel Core i7 8550U 1.8GHz,nvidia geforce gtx 940mx,SSD,37242.72,1,Intel Core i7,1,Card rời
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,31914.1872,1,Intel Core i5,1,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1060,SSD +  HDD,77202.72,1,Intel Core i7,1,Card rời
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,SSD,87858.72,1,Intel Core i7,1,Card onboard
AMD FX 9830P 3GHz,amd radeon rx 560,HDD,37242.72,2,Other,2,Khác
Intel Core i7 8550U 1.8GHz,nvidia geforce mx150,HDD,36709.92,1,Intel Core i7,2,Card rời
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,SSD,63776.16,1,Intel Core i7,1,Card onboard
Intel Core i5 7300HQ 2.5GHz,nvidia geforce gtx 1060,SSD,63669.6,1,Intel Core i5,1,Card rời
Intel Core i7 7500U 2.7GHz,intel hd graphics 620,SSD,55890.72,1,Intel Core i7,1,Card onboard
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,SSD,45128.16,1,Intel Core i5,1,Card onboard
Intel Core i7 7500U 2.7GHz,amd radeon r5 m430,HDD,31962.672,1,Intel Core i7,2,Khác
Intel Core i3 6006U 2GHz,amd radeon r5 m430,SSD,25840.8,1,Intel Core i3,1,Khác
Intel Core i3 7100U 2.4GHz,nvidia geforce 920m,SSD,30742.56,1,Intel Core i3,1,Card rời
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050,SSD +  HDD,66546.72,1,Intel Core i7,1,Card rời
Intel Core i7 7500U 2.7GHz,amd radeon 530,SSD,38308.32,1,Intel Core i7,1,Khác
AMD E-Series E2-9000e 1.5GHz,amd radeon r2,HDD,18594.72,2,Other,2,Khác
Intel Core i5 8250U 1.6GHz,amd radeon 520,HDD,34472.16,1,Intel Core i5,2,Khác
Intel Core i7 7500U 2.7GHz,nvidia geforce mx150,SSD,59620.32,1,Intel Core i7,1,Card rời
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,71395.2,1,Intel Core i5,1,Card onboard
Intel Core i5 7200U 2.5GHz,nvidia geforce 940mx,SSD,35111.52,1,Intel Core i5,1,Card rời
Intel Core i3 6006U 2GHz,intel hd graphics 520,HDD,22105.872,1,Intel Core i3,2,Card onboard
Intel Core i7 7500U 2.7GHz,nvidia geforce 940mx,SSD,63563.04,1,Intel Core i7,1,Card rời
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050 ti,SSD +  HDD,69210.72,1,Intel Core i7,1,Card rời
Intel Core i7 7500U 2.7GHz,intel hd graphics 620,SSD,78854.4,1,Intel Core i7,1,Card onboard
Intel Core i7 8550U 1.8GHz,nvidia geforce mx150,SSD +  HDD,67239.36,1,Intel Core i7,1,Card rời
Intel Core i7 7560U 2.4GHz,intel iris plus graphics 640,SSD,73473.12,1,Intel Core i7,1,Card onboard
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,74538.72,1,Intel Core i5,1,Card onboard
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,HDD,38468.16,1,Intel Core i5,2,Card onboard
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,SSD,86793.12,1,Intel Core i5,1,Card onboard
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,SSD,57755.52,1,Intel Core i7,1,Card onboard
Intel Core i7 8550U 1.8GHz,nvidia geforce 940mx,SSD +  HDD,60223.9824,1,Intel Core i7,1,Card rời
Intel Core i3 6006U 2GHz,nvidia geforce 920mx,HDD,30049.92,1,Intel Core i3,2,Card rời
Intel Core i7 8550U 1.8GHz,nvidia geforce 940mx,SSD,59567.04,1,Intel Core i7,1,Card rời
Intel Core i3 7100U 2.4GHz,intel hd graphics 620,HDD,25521.12,1,Intel Core i3,2,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1070,SSD +  HDD,119427.12,1,Intel Core i7,1,Card rời
Intel Core i5 7200U 2.5GHz,nvidia geforce 940mx,SSD,33513.12,1,Intel Core i5,1,Card rời
Intel Core i7 8550U 1.8GHz,nvidia geforce 930mx,SSD,67718.88,1,Intel Core i7,1,Card rời
AMD A9-Series 9420 3GHz,amd radeon r5,SSD,24029.28,2,Other,1,Khác
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,HDD,43263.36,1,Intel Core i5,2,Card onboard
AMD E-Series 6110 1.5GHz,amd radeon r2,SSD,14811.3072,2,Other,1,Khác
Intel Core i7 8550U 1.8GHz,amd radeon 530,SSD +  HDD,74378.88,1,Intel Core i7,1,Khác
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,SSD,49443.84,1,Intel Core i5,1,Card onboard
Intel Core i5 7200U 2.5GHz,amd radeon r7 m445,HDD,34045.3872,1,Intel Core i5,2,Khác
Intel Core i3 6006U 2GHz,amd radeon r5 m430,HDD,23922.72,1,Intel Core i3,2,Khác
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,SSD,47099.52,1,Intel Core i7,1,Card onboard
Intel Core i3 7130U 2.7GHz,nvidia geforce mx130,SSD,30476.16,1,Intel Core i3,1,Card rời
Intel Core i7 7500U 2.7GHz,intel hd graphics 620,HDD,31861.44,1,Intel Core i7,2,Card onboard
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,SSD,52640.64,1,Intel Core i7,1,Card onboard
Intel Celeron Dual Core N3350 1.1GHz,intel hd graphics 500,HDD,13445.7408,1,Other,2,Card onboard
Intel Core i5 7300HQ 2.5GHz,nvidia geforce gtx 1050,SSD +  HDD,49976.64,1,Intel Core i5,1,Card rời
Intel Core i5 7200U 2.5GHz,nvidia geforce 920mx,HDD,26586.72,1,Intel Core i5,2,Card rời
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,37242.72,1,Intel Core i5,1,Card onboard
Intel Core i3 7130U 2.7GHz,nvidia geforce mx130,HDD,34898.4,1,Intel Core i3,2,Card rời
Intel Core i5 8250U 1.6GHz,amd radeon rx 550,SSD,59461.5456,1,Intel Core i5,1,Khác
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050m,SSD,46300.32,1,Intel Core i7,1,Card rời
Intel Core i5 6200U 2.3GHz,intel hd graphics 520,HDD,32074.56,1,Intel Core i5,2,Card onboard
AMD A6-Series 9220 2.5GHz,amd radeon r4 graphics,SSD,19660.32,2,Other,1,Khác
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,SSD,58554.72,1,Intel Core i7,1,Card onboard
Intel Core M 6Y75 1.2GHz,intel hd graphics 515,SSD,107305.92,1,Other,1,Card onboard
Intel Celeron Dual Core N3350 1.1GHz,intel hd graphics 500,HDD,18328.32,1,Other,2,Card onboard
Intel Core i3 6006U 2GHz,intel hd graphics 520,HDD,23816.16,1,Intel Core i3,2,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050,SSD,66560.5728,1,Intel Core i7,1,Card rời
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050,1.Hybrid,47898.72,1,Intel Core i7,0,Card rời
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,26533.44,1,Intel Core i5,1,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1060,SSD +  HDD,100699.2,1,Intel Core i7,1,Card rời
Intel Core i5 7500U 2.7GHz,intel hd graphics 620,SSD,57648.96,1,Intel Core i5,1,Card onboard
Intel Core i5 8250U 1.6GHz,amd radeon 520,SSD,32980.32,1,Intel Core i5,1,Khác
Intel Core i3 7100U 2.4GHz,intel hd graphics 620,SSD,33513.12,1,Intel Core i3,1,Card onboard
Intel Core i5 8250U 1.6GHz,intel hd graphics 620,SSD,70063.2,1,Intel Core i5,1,Card onboard
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,SSD,55890.72,1,Intel Core i7,1,Card onboard
Intel Core i3 6006U 2.2GHz,intel hd graphics 520,HDD,23816.16,1,Intel Core i3,2,Card onboard
AMD A9-Series 9420 3GHz,amd radeon r5 m420,HDD,21471.84,2,Other,2,Khác
Intel Core i5 8250U 1.6GHz,nvidia geforce mx150,SSD,42890.4,1,Intel Core i5,1,Card rời
Intel Core i5 8250U 1.6GHz,amd radeon 520,SSD,38787.84,1,Intel Core i5,1,Khác
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050 ti,SSD,57489.12,1,Intel Core i7,1,Card rời
Intel Celeron Dual Core N3350 1.1GHz,intel hd graphics 500,HDD,18541.44,1,Other,2,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1060,SSD +  HDD,95850.72,1,Intel Core i7,1,Card rời
Intel Pentium Quad Core N4200 1.1GHz,intel hd graphics 505,HDD,19367.8128,1,Other,2,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050,SSD +  HDD,56502.9072,1,Intel Core i7,1,Card rời
Intel Core i5 8250U 1.6GHz,nvidia geforce mx150,SSD,45501.12,1,Intel Core i5,1,Card rời
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,HDD,40173.12,1,Intel Core i5,2,Card onboard
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,71874.72,1,Intel Core i5,1,Card onboard
Intel Core i5 7200U 2.5GHz,amd radeon 520,HDD,37242.72,1,Intel Core i5,2,Khác
AMD A6-Series 9220 2.9GHz,amd radeon r4 graphics,HDD,16463.52,2,Other,2,Khác
Intel Core i3 7100U 2.4GHz,intel hd graphics 620,HDD,26053.92,1,Intel Core i3,2,Card onboard
Intel Core i5 8250U 1.6GHz,nvidia geforce 930mx,SSD,49177.44,1,Intel Core i5,1,Card rời
Intel Core i3 7100U 2.4GHz,intel hd graphics 620,HDD,24455.52,1,Intel Core i3,2,Card onboard
Intel Core i3 6006U 2GHz,intel hd graphics 520,SSD,23922.72,1,Intel Core i3,1,Card onboard
Intel Core i7 6920HQ 2.9GHz,nvidia gtx 980 sli,SSD +  HDD,149130.72,1,Intel Core i7,1,Card rời
Intel Core i5 7200U 2.5GHz,amd r17m-m1-70,SSD +  HDD,43316.64,1,Intel Core i5,1,Khác
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,SSD,79866.72,1,Intel Core i5,1,Card onboard
Intel Core i7 8550U 1.8GHz,amd radeon 530,SSD +  HDD,55890.72,1,Intel Core i7,1,Khác
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,SSD,74538.72,1,Intel Core i5,1,Card onboard
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,SSD,98514.72,1,Intel Core i7,1,Card onboard
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,42251.04,1,Intel Core i5,1,Card onboard
Intel Core i5 8250U 1.6GHz,nvidia geforce mx150,SSD,63882.72,1,Intel Core i5,1,Card rời
Intel Core i7 8550U 1.8GHz,nvidia geforce 150mx,SSD,82530.72,1,Intel Core i7,1,Card rời
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050,SSD,127712.16,1,Intel Core i7,1,Card rời
Intel Core i5 7300HQ 2.5GHz,nvidia geforce gtx 1050,SSD,41505.12,1,Intel Core i5,1,Card rời
Intel Core i5 7Y54 1.2GHz,intel hd graphics 615,SSD,52693.92,1,Intel Core i5,1,Card onboard
Intel Core i7 8550U 1.8GHz,amd radeon 530,SSD +  HDD,57808.8,1,Intel Core i7,1,Khác
Intel Celeron Dual Core N3350 1.1GHz,intel hd graphics 500,Flash Storage,13852.8,1,Other,0,Card onboard
Intel Core i5 7200U 2.5GHz,nvidia geforce mx150,SSD,53274.672,1,Intel Core i5,1,Card rời
Intel Core i5 8250U 1.6GHz,nvidia geforce mx150,SSD,37189.44,1,Intel Core i5,1,Card rời
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,HDD,44701.92,1,Intel Core i7,2,Card onboard
Intel Core i5 8250U 1.6GHz,nvidia geforce 930mx,HDD,48697.92,1,Intel Core i5,2,Card rời
Intel Core i7 7820HK 2.9GHz,nvidia geforce gtx 1080,SSD,324954.72,1,Intel Core i7,1,Card rời
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,SSD,51095.52,1,Intel Core i5,1,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050,SSD +  HDD,73473.12,1,Intel Core i7,1,Card rời
Intel Core i7 8550U 1.8GHz,nvidia geforce 930mx,SSD,55677.6,1,Intel Core i7,1,Card rời
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1060,SSD +  HDD,98301.6,1,Intel Core i7,1,Card rời
Intel Core i5 6200U 2.3GHz,intel hd graphics 520,SSD,26267.04,1,Intel Core i5,1,Card onboard
Intel Core i7 7500U 2.7GHz,nvidia geforce 940mx,HDD,39533.76,1,Intel Core i7,2,Card rời
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1060,SSD +  HDD,93186.72,1,Intel Core i7,1,Card rời
Intel Xeon E3-1505M V6 3GHz,nvidia quadro m1200,SSD +  HDD,162770.4,1,Other,1,Card rời
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1060,SSD,74485.44,1,Intel Core i7,1,Card rời
Intel Core i3 7100U 2.4GHz,intel hd graphics 620,HDD,23389.92,1,Intel Core i3,2,Card onboard
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,SSD,103842.72,1,Intel Core i7,1,Card onboard
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,SSD,77202.72,1,Intel Core i7,1,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050,HDD,41505.12,1,Intel Core i7,2,Card rời
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050,SSD +  HDD,74964.96,1,Intel Core i7,1,Card rời
Intel Core i3 6006U 2GHz,intel hd graphics 520,HDD,18594.72,1,Intel Core i3,2,Card onboard
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,29250.72,1,Intel Core i5,1,Card onboard
Intel Core i7 7500U 2.7GHz,intel hd graphics 620,SSD,79866.72,1,Intel Core i7,1,Card onboard
Intel Core i7 8550U 1.8GHz,amd radeon 530,SSD,49650.5664,1,Intel Core i7,1,Khác
Intel Core i5 7200U 2.5GHz,nvidia geforce gtx 940mx,HDD,31381.92,1,Intel Core i5,2,Card rời
Intel Core i7 8550U 1.8GHz,nvidia geforce 930mx,SSD,54931.68,1,Intel Core i7,1,Card rời
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,SSD,61218.72,1,Intel Core i5,1,Card onboard
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,SSD,68145.12,1,Intel Core i7,1,Card onboard
Intel Core i5 8250U 1.6GHz,amd radeon 520,SSD,36089.208,1,Intel Core i5,1,Khác
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,SSD,47898.72,1,Intel Core i5,1,Card onboard
Intel Core i7 6500U 2.5GHz,intel hd graphics 520,SSD,72620.64,1,Intel Core i7,1,Card onboard
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,HDD,42304.32,1,Intel Core i5,2,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1060,SSD +  HDD,130873.7952,1,Intel Core i7,1,Card rời
Intel Core i7 7500U 2.7GHz,nvidia geforce 940mx,SSD,44328.96,1,Intel Core i7,1,Card rời
Intel Core i7 7500U 2.7GHz,amd radeon r7 m445,HDD,45768.0528,1,Intel Core i7,2,Khác
Intel Core i5 7200U 2.5GHz,nvidia geforce 920mx,SSD,40972.32,1,Intel Core i5,1,Card rời
Intel Core i5 7200U 2.5GHz,nvidia geforce gtx 950m,SSD +  HDD,47472.48,1,Intel Core i5,1,Card rời
Intel Core i7 7500U 2.7GHz,amd firepro w4190m,HDD,67612.32,1,Intel Core i7,2,Khác
Intel Core i3 7100U 2.4GHz,intel hd graphics 620,HDD,21258.1872,1,Intel Core i3,2,Card onboard
AMD E-Series 9000e 1.5GHz,amd radeon r2,HDD,17582.4,2,Other,2,Khác
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1060,SSD +  HDD,79866.72,1,Intel Core i7,1,Card rời
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,45767.52,1,Intel Core i5,1,Card onboard
Intel Core i5 6200U 2.3GHz,intel hd graphics 520,SSD,36709.92,1,Intel Core i5,1,Card onboard
Intel Core i7 7500U 2.7GHz,amd radeon r7 m445,SSD,47898.72,1,Intel Core i7,1,Khác
Intel Core i3 6006U 2GHz,intel hd graphics 520,HDD,20779.2,1,Intel Core i3,2,Card onboard
AMD A10-Series A10-9620P 2.5GHz,amd radeon r5 m430,SSD +  HDD,30636.0,2,Other,1,Khác
Intel Core i7 7820HK 2.9GHz,nvidia geforce gtx 1080,SSD +  HDD,207259.2,1,Intel Core i7,1,Card rời
Intel Core i5 7300HQ 2.5GHz,nvidia geforce gtx 1050,SSD,45074.88,1,Intel Core i5,1,Card rời
Intel Core i3 6006U 2GHz,intel hd graphics 520,SSD,31381.92,1,Intel Core i3,1,Card onboard
Intel Core i7 8550U 1.8GHz,nvidia geforce 150mx,SSD +  HDD,61005.6,1,Intel Core i7,1,Card rời
Intel Core i7 7500U 2.7GHz,nvidia geforce gtx 950m,SSD +  HDD,47365.92,1,Intel Core i7,1,Card rời
Intel Core i5 7300HQ 2.5GHz,nvidia geforce gtx 1050,SSD,46833.12,1,Intel Core i5,1,Card rời
Intel Core i7 7500U 2.7GHz,intel hd graphics 620,SSD,57489.12,1,Intel Core i7,1,Card onboard
Intel Core i7 8550U 1.8GHz,amd radeon 530,SSD +  HDD,52480.8,1,Intel Core i7,1,Khác
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,HDD,29783.52,1,Intel Core i5,2,Card onboard
Intel Core i7 7820HK 2.9GHz,nvidia geforce gtx 1080,SSD,159786.72,1,Intel Core i7,1,Card rời
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,HDD,35964.0,1,Intel Core i5,2,Card onboard
Intel Core i5 3.1GHz,intel iris plus graphics 650,SSD,108691.2,1,Intel Core i5,1,Card onboard
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,HDD,43636.32,1,Intel Core i7,2,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 980m,SSD +  HDD,95850.72,1,Intel Core i7,1,Card rời
